Voltage_V,Current_A
-10.0,-2e-12
-9.98,-1.9979999999999998e-12
-9.96,-1.996e-12
-9.94,-1.994e-12
-9.92,-1.992e-12
-9.9,-1.9900000000000002e-12
-9.88,-1.988e-12
-9.86,-1.9860000000000002e-12
-9.84,-1.9840000000000004e-12
-9.82,-1.9820000000000002e-12
-9.8,-1.9800000000000004e-12
-9.78,-1.9780000000000003e-12
-9.76,-1.9760000000000005e-12
-9.74,-1.9740000000000007e-12
-9.72,-1.9720000000000005e-12
-9.7,-1.9700000000000007e-12
-9.68,-1.9680000000000005e-12
-9.66,-1.9660000000000007e-12
-9.64,-1.964000000000001e-12
-9.62,-1.9620000000000007e-12
-9.6,-1.960000000000001e-12
-9.58,-1.9580000000000007e-12
-9.56,-1.956000000000001e-12
-9.54,-1.954000000000001e-12
-9.52,-1.952000000000001e-12
-9.5,-1.950000000000001e-12
-9.48,-1.948000000000001e-12
-9.46,-1.946000000000001e-12
-9.44,-1.9440000000000014e-12
-9.42,-1.9420000000000012e-12
-9.4,-1.9400000000000014e-12
-9.38,-1.9380000000000012e-12
-9.36,-1.936000000000001e-12
-9.34,-1.9340000000000017e-12
-9.32,-1.9320000000000015e-12
-9.3,-1.9300000000000013e-12
-9.28,-1.9280000000000015e-12
-9.26,-1.9260000000000013e-12
-9.24,-1.9240000000000015e-12
-9.22,-1.9220000000000017e-12
-9.2,-1.9200000000000015e-12
-9.18,-1.9180000000000017e-12
-9.16,-1.9160000000000015e-12
-9.14,-1.9140000000000017e-12
-9.12,-1.912000000000002e-12
-9.1,-1.9100000000000018e-12
-9.08,-1.908000000000002e-12
-9.06,-1.9060000000000018e-12
-9.04,-1.904000000000002e-12
-9.02,-1.902000000000002e-12
-9.0,-1.900000000000002e-12
-8.98,-1.8980000000000022e-12
-8.96,-1.896000000000002e-12
-8.94,-1.8940000000000022e-12
-8.92,-1.8920000000000024e-12
-8.9,-1.8900000000000022e-12
-8.88,-1.8880000000000025e-12
-8.86,-1.8860000000000023e-12
-8.84,-1.8840000000000025e-12
-8.82,-1.8820000000000027e-12
-8.8,-1.8800000000000025e-12
-8.78,-1.8780000000000027e-12
-8.76,-1.8760000000000025e-12
-8.74,-1.8740000000000027e-12
-8.72,-1.872000000000003e-12
-8.7,-1.8700000000000027e-12
-8.68,-1.8680000000000025e-12
-8.66,-1.8660000000000028e-12
-8.64,-1.864000000000003e-12
-8.62,-1.8620000000000028e-12
-8.6,-1.860000000000003e-12
-8.58,-1.8580000000000028e-12
-8.56,-1.856000000000003e-12
-8.54,-1.8540000000000032e-12
-8.52,-1.852000000000003e-12
-8.5,-1.8500000000000032e-12
-8.48,-1.848000000000003e-12
-8.46,-1.8460000000000032e-12
-8.44,-1.8440000000000035e-12
-8.42,-1.8420000000000033e-12
-8.4,-1.8400000000000035e-12
-8.38,-1.8380000000000033e-12
-8.36,-1.8360000000000035e-12
-8.34,-1.8340000000000037e-12
-8.32,-1.8320000000000035e-12
-8.3,-1.8300000000000037e-12
-8.28,-1.8280000000000035e-12
-8.26,-1.8260000000000037e-12
-8.24,-1.824000000000004e-12
-8.22,-1.8220000000000037e-12
-8.2,-1.820000000000004e-12
-8.18,-1.8180000000000038e-12
-8.16,-1.8160000000000038e-12
-8.14,-1.814000000000004e-12
-8.12,-1.812000000000004e-12
-8.1,-1.810000000000004e-12
-8.08,-1.808000000000004e-12
-8.06,-1.806000000000004e-12
-8.04,-1.8040000000000042e-12
-8.02,-1.8020000000000042e-12
-8.0,-1.8000000000000042e-12
-7.98,-1.7980000000000043e-12
-7.96,-1.7960000000000043e-12
-7.94,-1.7940000000000045e-12
-7.92,-1.7920000000000045e-12
-7.9,-1.7900000000000045e-12
-7.88,-1.7880000000000045e-12
-7.86,-1.7860000000000045e-12
-7.84,-1.7840000000000047e-12
-7.82,-1.7820000000000047e-12
-7.8,-1.7800000000000047e-12
-7.78,-1.7780000000000047e-12
-7.76,-1.7760000000000048e-12
-7.74,-1.774000000000005e-12
-7.72,-1.7720000000000048e-12
-7.7,-1.7700000000000048e-12
-7.68,-1.7680000000000048e-12
-7.66,-1.7660000000000048e-12
-7.64,-1.764000000000005e-12
