# Hall effect measurement (300 K)
# MagneticField(T)	HallVoltage(V)
-1.00	-1.200e-03
-0.95	-1.140e-03
-0.90	-1.080e-03
-0.85	-1.020e-03
-0.80	-9.600e-04
-0.75	-9.000e-04
-0.70	-8.400e-04
-0.65	-7.800e-04
-0.60	-7.200e-04
-0.55	-6.600e-04
-0.50	-6.000e-04
-0.45	-5.400e-04
-0.40	-4.800e-04
-0.35	-4.200e-04
-0.30	-3.600e-04
-0.25	-3.000e-04
-0.20	-2.400e-04
-0.15	-1.800e-04
-0.10	-1.200e-04
-0.05	-6.000e-05
0.00	0.000e+00
0.05	6.000e-05
0.10	1.200e-04
0.15	1.800e-04
0.20	2.400e-04
0.25	3.000e-04
0.30	3.600e-04
0.35	4.200e-04
0.40	4.800e-04
0.45	5.400e-04
0.50	6.000e-04
0.55	6.600e-04
0.60	7.200e-04
0.65	7.800e-04
0.70	8.400e-04
0.75	9.000e-04
0.80	9.600e-04
0.85	1.020e-03
0.90	1.080e-03
0.95	1.140e-03
1.00	1.200e-03
