# Fowler–Nordheim tunneling I–V (300 K)
# Voltage(V)	Current(A)
0.00	5.000e-12
0.10	5.309e-12
0.20	5.637e-12
0.30	5.986e-12
0.40	6.356e-12
0.50	6.749e-12
0.60	7.167e-12
0.70	7.610e-12
0.80	8.080e-12
0.90	8.580e-12
1.00	9.111e-12
1.10	9.674e-12
1.20	1.027e-11
1.30	1.091e-11
1.40	1.158e-11
1.50	1.230e-11
1.60	1.306e-11
1.70	1.387e-11
1.80	1.472e-11
1.90	1.563e-11
2.00	1.660e-11
2.10	1.763e-11
2.20	1.872e-11
2.30	1.987e-11
2.40	2.110e-11
2.50	1.000e-09
2.60	1.492e-09
2.70	2.226e-09
2.80	3.320e-09
2.90	4.953e-09
3.00	7.389e-09
3.10	1.102e-08
3.20	1.644e-08
3.30	2.453e-08
3.40	3.660e-08
3.50	5.460e-08
3.60	8.145e-08
3.70	1.215e-07
3.80	1.813e-07
3.90	2.704e-07
4.00	4.034e-07
4.10	6.018e-07
4.20	8.978e-07
4.30	1.339e-06
4.40	1.998e-06
4.50	2.981e-06
4.60	4.447e-06
4.70	6.634e-06
4.80	9.897e-06
4.90	1.476e-05
5.00	2.203e-05
