V,I
0.0,5e-12
0.1,5.309e-12
0.2,5.637e-12
0.3,5.986e-12
0.4,6.356e-12
0.5,6.749e-12
0.6,7.167e-12
0.7,7.61e-12
0.8,8.08e-12
0.9,8.58e-12
1.0,9.111e-12
1.1,9.674e-12
1.2,1.027e-11
1.3,1.091e-11
1.4,1.158e-11
1.5,1.23e-11
1.6,1.306e-11
1.7,1.387e-11
1.8,1.472e-11
1.9,1.563e-11
2.0,1.66e-11
2.1,1.763e-11
2.2,1.872e-11
2.3,1.987e-11
2.4,2.11e-11
2.5,1e-09
2.6,1.492e-09
2.7,2.226e-09
2.8,3.32e-09
2.9,4.953e-09
3.0,7.389e-09
3.1,1.102e-08
3.2,1.644e-08
3.3,2.453e-08
3.4,3.66e-08
3.5,5.46e-08
3.6,8.145e-08
3.7,1.215e-07
3.8,1.813e-07
3.9,2.704e-07
4.0,4.034e-07
4.1,6.018e-07
4.2,8.978e-07
4.3,1.339e-06
4.4,1.998e-06
4.5,2.981e-06
4.6,4.447e-06
4.7,6.634e-06
4.8,9.897e-06
4.9,1.476e-05
5.0,2.203e-05
