V,I
-5.0,-3.4189734995427336e-10
-4.98,-3.325434970256683e-10
-4.960000000000001,-3.233863984921637e-10
-4.940000000000001,-3.144233756161809e-10
-4.920000000000002,-3.056517608738783e-10
-4.900000000000002,-2.970688981727645e-10
-4.880000000000003,-2.8867214307003697e-10
-4.860000000000003,-2.804588629915848e-10
-4.840000000000003,-2.724264374516109e-10
-4.820000000000004,-2.645722582728164e-10
-4.800000000000004,-2.5689372980708933e-10
-4.780000000000005,-2.493882691566433e-10
-4.760000000000005,-2.4205330639554354e-10
-4.7400000000000055,-2.348862847915596e-10
-4.720000000000006,-2.2788466102827961e-10
-4.700000000000006,-2.2104590542742383e-10
-4.680000000000007,-2.1436750217128483e-10
-4.660000000000007,-2.0784694952522945e-10
-4.640000000000008,-2.014817600601863e-10
-4.620000000000008,-1.9526946087505024e-10
-4.6000000000000085,-1.89207593818922e-10
-4.580000000000009,-1.8329371571310961e-10
-4.560000000000009,-1.7752539857281027e-10
-4.54000000000001,-1.719002298283883e-10
-4.52000000000001,-1.6641581254616776e-10
-4.500000000000011,-1.6106976564865157e-10
-4.480000000000011,-1.5585972413407775e-10
-4.4600000000000115,-1.507833392952238e-10
-4.440000000000012,-1.4583827893736367e-10
-4.420000000000012,-1.4102222759528285e-10
-4.400000000000013,-1.3633288674925475e-10
-4.380000000000013,-1.3176797503987665e-10
-4.360000000000014,-1.2732522848166394e-10
-4.340000000000014,-1.2300240067529852e-10
-4.3200000000000145,-1.1879726301842358e-10
-4.300000000000015,-1.147076049148771e-10
-4.280000000000015,-1.1073123398225111e-10
-4.260000000000016,-1.0686597625766497e-10
-4.240000000000016,-1.0310967640163612e-10
-4.220000000000017,-9.946019789993003e-11
-4.200000000000017,-9.59154232632706e-11
-4.1800000000000175,-9.247325422478708e-11
-4.160000000000018,-8.913161193507407e-11
-4.140000000000018,-8.588843715473855e-11
-4.120000000000019,-8.274169044430444e-11
-4.100000000000019,-7.968935235134353e-11
-4.08000000000002,-7.672942359470299e-11
-4.06000000000002,-7.38599252456907e-11
-4.0400000000000205,-7.107889890608596e-11
-4.020000000000021,-6.838440688283461e-11
-4.000000000000021,-6.577453235928943e-11
-3.9800000000000217,-6.324737956285438e-11
-3.960000000000022,-6.080107392888848e-11
-3.9400000000000226,-5.843376226072503e-11
-3.920000000000023,-5.614361288565933e-11
-3.9000000000000234,-5.392881580675721e-11
-3.880000000000024,-5.178758285033542e-11
-3.8600000000000243,-4.971814780896327e-11
-3.8400000000000247,-4.771876657983463e-11
-3.820000000000025,-4.578771729835763e-11
-3.8000000000000256,-4.392330046680918e-11
-3.780000000000026,-4.212383907790069e-11
-3.7600000000000264,-4.0387678733100223e-11
-3.740000000000027,-3.8713187755556846e-11
-3.7200000000000273,-3.709875729747214e-11
-3.7000000000000277,-3.554280144176379e-11
-3.680000000000028,-3.404375729786649e-11
-3.6600000000000286,-3.260008509151544e-11
-3.640000000000029,-3.121026824835869e-11
-3.6200000000000294,-2.9872813471244534e-11
-3.60000000000003,-2.858625081103176e-11
-3.5800000000000303,-2.7349133730771292e-11
-3.5600000000000307,-2.6160039163109286e-11
-3.540000000000031,-2.5017567560763065e-11
-3.5200000000000315,-2.3920342939923802e-11
-3.500000000000032,-2.286701291644083e-11
-3.4800000000000324,-2.185624873464611e-11
-3.460000000000033,-2.0886745288679077e-11
-3.4400000000000333,-1.9957221136175422e-11
-3.4200000000000337,-1.9066418504186693e-11
-3.400000000000034,-1.8213103287200823e-11
-3.3800000000000345,-1.739606503713786e-11
-3.360000000000035,-1.661411694519925e-11
-3.3400000000000354,-1.586609581545344e-11
-3.320000000000036,-1.5150862030045685e-11
-3.3000000000000362,-1.4467299505924907e-11
-3.2800000000000367,-1.381431564298628e-11
-3.260000000000037,-1.3190841263533905e-11
-3.2400000000000375,-1.2595830542974586e-11
-3.220000000000038,-1.2028260931660127e-11
-3.2000000000000384,-1.1487133067802907e-11
-3.180000000000039,-1.097147068139691e-11
-3.160000000000039,-1.0480320489084184e-11
-3.1400000000000396,-1.0012752079915331e-11
-3.12000000000004,-9.5678577919609e-12
-3.1000000000000405,-9.144752579740147e-12
-3.080000000000041,-8.742573872442823e-12
-3.0600000000000414,-8.360481422929816e-12
-3.040000000000042,-7.997657147508747e-12
-3.020000000000042,-7.653304956491544e-12
-3.0000000000000426,-7.326650575551935e-12
-2.980000000000043,-7.016941357912786e-12
-2.9600000000000435,-6.723446087404843e-12
-2.940000000000044,-6.4454547724511044e-12
-2.9200000000000443,-6.182278431043615e-12
-2.9000000000000448,-5.933248866792748e-12
-2.880000000000045,-5.697718436142448e-12
-2.8600000000000456,-5.4750598068587876e-12
-2.840000000000046,-5.264665707913328e-12
-2.8200000000000465,-5.065948670897202e-12
-2.800000000000047,-4.8783407631166115e-12
-2.7800000000000473,-4.701293312535397e-12
-2.7600000000000477,-4.53427662474556e-12
-2.740000000000048,-4.3767796921620534e-12
-2.7200000000000486,-4.228309895653651e-12
-2.700000000000049,-4.088392698837529e-12
-2.6800000000000495,-3.956571335280933e-12
-2.66000000000005,-3.83240648886911e-12
-2.6400000000000503,-3.715475967614621e-12
-2.6200000000000507,-3.605374371198915e-12
-2.600000000000051,-3.5017127525527593e-12
-2.5800000000000516,-3.4041182737977112e-12
-2.560000000000052,-3.312233856886197e-12
-2.5400000000000524,-3.2257178292928538e-12
-2.520000000000053,-3.1442435651245924e-12
-2.5000000000000533,-3.0674991220312588e-12
-2.4800000000000537,-2.995186874312682e-12
-2.460000000000054,-2.9270231426313794e-12
-2.4400000000000546,-2.86273782075297e-12
-2.420000000000055,-2.802073999748537e-12
-2.4000000000000554,-2.744787590104586e-12
-2.380000000000056,-2.6906469421968518e-12
-2.3600000000000563,-2.6394324655938655e-12
-2.3400000000000567,-2.590936247664954e-12
-2.320000000000057,-2.5449616719749386e-12
-2.3000000000000576,-2.501323036954347e-12
-2.280000000000058,-2.4598451753392247e-12
-2.2600000000000584,-2.4203630748786207e-12
-2.240000000000059,-2.3827215008104345e-12
-2.2200000000000593,-2.3467746206075e-12
-2.2000000000000597,-2.312385631495393e-12
-2.18000000000006,-2.2794263912415427e-12
-2.1600000000000605,-2.24777705271162e-12
-2.140000000000061,-2.2173257026838906e-12
-2.1200000000000614,-2.1879680054051734e-12
-2.100000000000062,-2.1596068513631837e-12
-2.0800000000000622,-2.132152011739379e-12
-2.0600000000000627,-2.105519798993858e-12
-2.040000000000063,-2.0796327340194644e-12
-2.0200000000000635,-2.054419220285927e-12
-2.000000000000064,-2.029813225376707e-12
-1.9800000000000644,-2.00575397030117e-12
-1.9600000000000648,-1.982185626942877e-12
-1.9400000000000652,-1.959057023981116e-12
-1.9200000000000657,-1.9363213615974946e-12
-1.900000000000066,-1.913935935252408e-12
-1.8800000000000665,-1.8918618687876945e-12
-1.860000000000067,-1.8700638570818466e-12
-1.8400000000000674,-1.848509918452891e-12
-1.8200000000000678,-1.8271711569716632e-12
-1.8000000000000682,-1.8060215348148066e-12
-1.7800000000000686,-1.7850376547526083e-12
-1.760000000000069,-1.764198552831966e-12
-1.7400000000000695,-1.7434855012795251e-12
-1.72000000000007,-1.722881821614598e-12
-1.7000000000000703,-1.70237270792608e-12
-1.6800000000000708,-1.681945060232465e-12
-1.6600000000000712,-1.6615873278095097e-12
-1.6400000000000716,-1.6412893623363172e-12
-1.620000000000072,-1.6210422806779045e-12
-1.6000000000000725,-1.6008383370909355e-12
-1.580000000000073,-1.5806708046094971e-12
-1.5600000000000733,-1.560533865339814e-12
-1.5400000000000738,-1.540422509366916e-12
-1.5200000000000742,-1.5203324419526616e-12
-1.5000000000000746,-1.5002599986834487e-12
-1.480000000000075,-1.4802020682075487e-12
-1.4600000000000755,-1.4601560221864855e-12
-1.4400000000000759,-1.4401196520723382e-12
-1.4200000000000763,-1.420091112313406e-12
-1.4000000000000767,-1.400068869584382e-12
-1.3800000000000772,-1.3800516576340615e-12
-1.3600000000000776,-1.3600384373436474e-12
-1.340000000000078,-1.340028361591852e-12
-1.3200000000000784,-1.3200207445291208e-12
-1.3000000000000789,-1.3000150348722705e-12
-1.2800000000000793,-1.280010792842476e-12
-1.2600000000000797,-1.2600076703836107e-12
-1.2400000000000801,-1.2400053943141788e-12
-1.2200000000000806,-1.2200037520842209e-12
-1.200000000000081,-1.2000025798282557e-12
-1.1800000000000814,-1.1800017524262617e-12
