V,I
-6.0,-2.4e-05
-5.95,-1.9e-05
-5.9,-2.32e-05
-5.85,-2.27e-05
-5.8,-1.45e-05
-5.75,-1.5e-05
-5.7,-1.74e-05
-5.65,-1.56e-05
-5.6,-1.54e-05
-5.55,-1.3e-05
-5.5,-1.56e-05
-5.45,-1.46e-05
-5.4,-1.25e-05
-5.35,-1.37e-05
-5.3,-1.18e-05
-5.25,-9.26e-06
-5.2,-1.03e-05
-5.15,-8.11e-06
-5.1,-9.83e-06
-5.05,-8.12e-06
-5.0,-7.48e-06
-4.95,-6.55e-06
-4.9,-7.98e-06
-4.85,-6.17e-06
-4.8,-5.55e-06
-4.75,-5.23e-06
-4.7,-5.51e-06
-4.65,-5.01e-06
-4.6,-4.69e-06
-4.55,-4.36e-06
-4.5,-5.12e-06
-4.45,-3.34e-06
-4.4,-3.04e-06
-4.35,-2.69e-06
-4.3,-3.02e-06
-4.25,-2.98e-06
-4.2,-2.31e-06
-4.15,-1.91e-06
-4.1,-1.75e-06
-4.05,-1.96e-06
-4.0,-1.81e-06
-3.95,-1.6e-06
-3.9,-1.23e-06
-3.85,-1.26e-06
-3.8,-1.12e-06
-3.75,-1.03e-06
-3.7,-1.01e-06
-3.65,-8.28e-07
-3.6,-7.89e-07
-3.55,-6.47e-07
-3.5,-5.94e-07
-3.45,-5.52e-07
-3.4,-3.66e-07
-3.35,-3.77e-07
-3.3,-3.25e-07
-3.25,-2.78e-07
-3.2,-2.55e-07
-3.15,-2.83e-07
-3.1,-1.76e-07
-3.05,-1.96e-07
-3.0,-1.17e-07
-2.95,-1.2e-07
-2.9,-1.09e-07
-2.85,-9.78e-08
-2.8,-8.37e-08
-2.75,-7.08e-08
-2.7,-5.02e-08
-2.65,-4.09e-08
-2.6,-4.02e-08
-2.55,-2.84e-08
-2.5,-1.97e-08
-2.45,-1.62e-08
-2.4,-1.32e-08
-2.35,-1.27e-08
-2.3,-9.46e-09
-2.25,-7.89e-09
-2.2,-5.18e-09
-2.15,-4.25e-09
-2.1,-3.39e-09
-2.05,-2.2e-09
-2.0,-1.78e-09
-1.95,-1.09e-09
-1.9,-8.04e-10
-1.85,-5.56e-10
-1.8,-3.38e-10
-1.75,-2.84e-10
-1.7,-1.62e-10
-1.65,-1.1e-10
-1.6,-7.3e-11
-1.55,-4.38e-11
-1.5,-2.63e-11
-1.45,-1.33e-11
-1.4,-6.92e-12
-1.35,-3.77e-12
-1.3,-1.5e-12
-1.25,-7.27e-13
-1.2,-3.27e-13
-1.15,-1.42e-13
-1.1,-6.59e-14
-1.05,-1.93e-14
-1.0,-6.62e-15
-0.95,-2.37e-15
-0.9,-4.67e-16
-0.85,-1.15e-16
-0.8,-1.6e-17
-0.75,-2.49e-18
-0.7,-2.41e-19
-0.65,-2.01e-20
-0.6,-1.2e-21
-0.55,-2.53e-23
-0.5,-5.16e-25
-0.45,-3.07e-27
-0.4,-4.79e-30
-0.35,-1.26e-33
-0.3,-3.22e-38
-0.25,-8.79e-45
-0.2,-1.74e-54
-0.15,-1.13e-70
-0.1,-8.9e-103
0.1,6.899103373692976e-103
0.15000000000000002,9.821745233118004e-71
0.20000000000000004,1.7312649183077767e-54
0.25000000000000006,9.75226333016561e-45
0.30000000000000004,3.850097842650954e-38
0.3500000000000001,1.7285123269069956e-33
0.40000000000000013,5.4610449369086774e-30
0.45000000000000007,3.630684731844323e-27
0.5000000000000001,4.126644245588924e-25
0.5500000000000002,2.9410405982327565e-23
0.6000000000000002,9.430114150053391e-22
0.6500000000000001,2.000692226517118e-20
0.7000000000000002,2.2713275793845436e-19
0.7500000000000002,2.7981229256469628e-18
0.8000000000000002,1.768839257949305e-17
0.8500000000000002,8.471619111063018e-17
0.9000000000000002,4.2599347525444424e-16
0.9500000000000003,2.064677159349299e-15
1.0000000000000004,7.82976992891886e-15
1.0500000000000003,2.888145243782128e-14
1.1000000000000005,9.325400419762122e-14
1.1500000000000004,1.7217020353524274e-13
1.2000000000000004,3.4266102685634027e-13
1.2500000000000004,6.610805448328061e-13
1.3000000000000005,1.960155278905071e-12
1.3500000000000005,3.407528704886191e-12
1.4000000000000006,6.928625241384999e-12
1.4500000000000006,1.243525277428009e-11
1.5000000000000004,2.3551722324926885e-11
1.5500000000000005,4.768507562357838e-11
1.6000000000000005,6.983188444960522e-11
1.6500000000000006,1.0784418055259746e-10
1.7000000000000006,1.5011258223407902e-10
1.7500000000000007,2.1078178167415058e-10
1.8000000000000007,3.726171816247821e-10
1.8500000000000008,5.813979342950696e-10
1.9000000000000008,1.078574273238831e-09
1.9500000000000006,1.2192509042092655e-09
2.0000000000000004,1.9130444881257897e-09
2.0500000000000007,2.1417497538790154e-09
2.100000000000001,2.6395522116260127e-09
2.150000000000001,3.6388687137318408e-09
2.2000000000000006,4.9696635471367344e-09
2.250000000000001,9.62893587930369e-09
2.3000000000000007,8.279256709853086e-09
2.350000000000001,1.3324456709792607e-08
2.400000000000001,1.327865571005623e-08
2.450000000000001,2.1497075103419938e-08
2.500000000000001,2.483851590150054e-08
2.5500000000000007,2.8494939682507893e-08
2.600000000000001,3.553378667764069e-08
2.650000000000001,3.978147406620612e-08
2.700000000000001,5.6070714542638914e-08
2.750000000000001,5.955942993181298e-08
2.800000000000001,6.403330812156546e-08
2.850000000000001,7.559704886853775e-08
2.900000000000001,1.0925554450198055e-07
2.950000000000001,1.5614324844324644e-07
3.000000000000001,1.5029890422071133e-07
3.050000000000001,1.6857976836311058e-07
3.100000000000001,2.0688218440672901e-07
3.1500000000000012,2.752665315457981e-07
3.200000000000001,2.7266434578295347e-07
3.2500000000000013,2.865573332933806e-07
3.300000000000001,4.0369062611794286e-07
3.350000000000001,4.1847724154840266e-07
3.4000000000000012,5.532258147003702e-07
3.450000000000001,5.189890292802845e-07
3.5000000000000013,4.816781280093498e-07
3.550000000000001,5.307680102604622e-07
3.6000000000000014,9.027736038696888e-07
3.6500000000000012,1.01924903854665e-06
3.7000000000000015,8.735359642779603e-07
3.7500000000000013,9.443877484997492e-07
3.800000000000001,1.3516286390285172e-06
3.8500000000000014,1.048952863912047e-06
3.9000000000000012,1.1926672486005339e-06
3.9500000000000015,1.6250939195735527e-06
4.000000000000001,1.5479753243483579e-06
4.050000000000002,1.7923062701576392e-06
4.100000000000001,1.9201736849316394e-06
4.150000000000001,2.2490891713104693e-06
4.200000000000001,2.844537369279026e-06
4.250000000000001,2.5825001236264363e-06
4.300000000000001,3.0306897457345915e-06
4.350000000000001,2.2671295312432047e-06
4.400000000000001,3.2392901320538593e-06
4.450000000000001,3.1404535290238255e-06
4.500000000000001,3.2212081224204496e-06
4.550000000000001,3.6424051635522014e-06
4.600000000000001,4.2300714195899645e-06
4.650000000000001,5.408458304516916e-06
4.700000000000001,4.2626961217165675e-06
4.750000000000001,5.516910495102948e-06
4.800000000000002,5.506250206371892e-06
4.850000000000001,6.022371084263366e-06
4.900000000000001,7.737560290440846e-06
4.950000000000001,7.748892489697522e-06
5.000000000000001,9.230562843707234e-06
5.050000000000002,8.00343575971962e-06
5.100000000000001,7.904904496149543e-06
5.150000000000001,8.971898965856726e-06
5.200000000000001,1.016475165169513e-05
5.250000000000002,1.0689375439407962e-05
5.300000000000002,9.521308826695214e-06
5.350000000000001,1.1862961168068892e-05
5.400000000000001,1.2795973702889615e-05
5.450000000000001,1.8563767293971126e-05
5.500000000000002,1.795139225310024e-05
5.550000000000002,1.2995820311170867e-05
5.600000000000001,1.4822319411511324e-05
5.650000000000001,1.3279209559793014e-05
5.700000000000001,1.577694759814017e-05
5.750000000000002,1.88175702389134e-05
5.800000000000002,2.2378105459235726e-05
5.850000000000001,1.799958554029835e-05
5.900000000000001,1.9098184857109315e-05
5.950000000000002,1.6305791146464364e-05
6.000000000000002,2.2494143112878067e-05
