V(V),I(A),|V|(V),|I|(A),1/|V|(1/V),ln(|I|/V^2),Device_area(um^2),Device_thickness(nm)
-6,-2.40E-05,6,2.3994540300343092e-05,0.16666666666666666,-14.22120318,20,2
-5.95,-1.90E-05,5.95,1.9001162440764707e-05,0.1680672268907563,-14.43779284,20,2
-5.9,-2.32E-05,5.9,2.3188248764077502e-05,0.1694915254237288,-14.22176963,20,2
-5.85,-2.27E-05,5.8500000000000005,2.2669472698533174e-05,0.17094017094017092,-14.22737468,20,2
-5.8,-1.45E-05,5.800000000000001,1.4468049554853643e-05,0.17241379310344826,-14.65928365,20,2
-5.75,-1.50E-05,5.750000000000001,1.5048613048626109e-05,0.17391304347826084,-14.60262444,20,2
-5.7,-1.74E-05,5.700000000000001,1.7423517186752245e-05,0.17543859649122803,-14.43862205,20,2
-5.65,-1.56E-05,5.650000000000001,1.5559806403157433e-05,0.17699115044247785,-14.53413057,20,2
-5.6,-1.54E-05,5.600000000000001,1.5386898892584066e-05,0.17857142857142852,-14.52752733,20,2
-5.55,-1.30E-05,5.550000000000002,1.2996178367893984e-05,0.18018018018018012,-14.67845107,20,2
-5.5,-1.56E-05,5.500000000000002,1.5640525423545973e-05,0.18181818181818177,-14.47514141,20,2
-5.45,-1.46E-05,5.450000000000002,1.4597725391442102e-05,0.18348623853211002,-14.52587605,20,2
-5.4,-1.25E-05,5.400000000000002,1.2512424816195889e-05,0.18518518518518512,-14.66158633,20,2
-5.35,-1.37E-05,5.350000000000002,1.3689834388085684e-05,0.1869158878504672,-14.55305014,20,2
-5.3,-1.18E-05,5.3000000000000025,1.1798057181686362e-05,0.18867924528301877,-14.68298933,20,2
-5.25,-9.26E-06,5.250000000000003,9.264039148218287e-06,0.19047619047619038,-14.90582656,20,2
-5.2,-1.03E-05,5.200000000000003,1.0343607011097358e-05,0.1923076923076922,-14.77645916,20,2
-5.15,-8.11E-06,5.150000000000003,8.105558550046061e-06,0.19417475728155328,-15.00095392,20,2
-5.1,-9.83E-06,5.100000000000003,9.825625386074563e-06,0.1960784313725489,-14.78899783,20,2
-5.05,-8.12E-06,5.050000000000003,8.119910633406607e-06,0.1980198019801979,-14.9599679,20,2
-5,-7.48E-06,5.0000000000000036,7.47984425602891e-06,0.19999999999999984,-15.02217441,20,2
-4.95,-6.55E-06,4.950000000000004,6.547823081825166e-06,0.20202020202020188,-15.13515307,20,2
-4.9,-7.98E-06,4.900000000000004,7.976108568411615e-06,0.20408163265306106,-14.91753032,20,2
-4.85,-6.17E-06,4.850000000000004,6.168167077153431e-06,0.2061855670103091,-15.15406624,20,2
-4.8,-5.55E-06,4.800000000000004,5.54889412900408e-06,0.20833333333333315,-15.23914374,20,2
-4.75,-5.23E-06,4.750000000000004,5.232750592565702e-06,0.21052631578947348,-15.27686273,20,2
-4.7,-5.51E-06,4.700000000000005,5.510696436581893e-06,0.2127659574468083,-15.20394457,20,2
-4.65,-5.01E-06,4.650000000000005,5.012402954081331e-06,0.215053763,-15.27732957,20,2
-4.6,-4.69E-06,4.600000000000005,4.689851194659929e-06,0.21739130434782586,-15.32222231,20,2
-4.55,-4.36E-06,4.550000000000005,4.364421184791259e-06,0.21978021978021953,-15.37227945,20,2
-4.5,-5.12E-06,4.500000000000005,5.124440149546234e-06,0.22222222222222196,-15.18964407,20,2
-4.45,-3.34E-06,4.4500000000000055,3.3358098484526633e-06,0.22471910112359522,-15.59660327,20,2
-4.4,-3.04E-06,4.400000000000006,3.0383541123741556e-06,0.227272727,-15.66740368,20,2
-4.35,-2.69E-06,4.350000000000006,2.689430318059551e-06,0.22988505747126406,-15.76653285,20,2
-4.3,-3.02E-06,4.300000000000006,3.0190055909996746e-06,0.23255813953488338,-15.6278131,20,2
-4.25,-2.98E-06,4.250000000000006,2.980873829183072e-06,0.2352941176470585,-15.61713204,20,2
-4.2,-2.31E-06,4.200000000000006,2.305291688222095e-06,0.23809523809523772,-15.85047239,20,2
-4.15,-1.91E-06,4.150000000000007,1.9113614081688804e-06,0.24096385542168636,-16.01391146,20,2
-4.1,-1.75E-06,4.100000000000007,1.752581465845244e-06,0.24390243902438985,-16.07639468,20,2
-4.05,-1.96E-06,4.050000000000007,1.9622534593310845e-06,0.24691358024691315,-15.93885078,20,2
-4,-1.81E-06,4.000000000000007,1.8114885409403392e-06,0.24999999999999956,-15.99395037,20,2
-3.95,-1.60E-06,3.9500000000000073,1.602758592250747e-06,0.25316455696202483,-16.09121545,20,2
-3.9,-1.23E-06,3.9000000000000075,1.2310404747595755e-06,0.25641025641025594,-16.32960394,20,2
-3.85,-1.26E-06,3.8500000000000076,1.2621425069807227e-06,0.2597402597402592,-16.27884618,20,2
-3.8,-1.12E-06,3.800000000000008,1.1224625919296942e-06,0.2631578947368416,-16.36998768,20,2
-3.75,-1.03E-06,3.750000000000008,1.026272990876362e-06,0.2666666666666661,-16.43308845,20,2
-3.7,-1.01E-06,3.700000000000008,1.0100378981249589e-06,0.2702702702702697,-16.42218834,20,2
-3.65,-8.28E-07,3.6500000000000083,8.284686903725389e-07,0.2739726027397254,-16.59314113,20,2
-3.6,-7.89E-07,3.6000000000000085,7.893288746491749e-07,0.2777777777777771,-16.61395047,20,2
-3.55,-6.47E-07,3.5500000000000087,6.472156882983287e-07,0.2816901408450697,-16.78448144,20,2
-3.5,-5.94E-07,3.500000000000009,5.937070857931961e-07,0.285714286,-16.8424057,20,2
-3.45,-5.52E-07,3.450000000000009,5.521300758791832e-07,0.28985507246376735,-16.88623064,20,2
-3.4,-3.66E-07,3.4000000000000092,3.658707817234861e-07,0.2941176470588227,-17.26853648,20,2
-3.35,-3.77E-07,3.3500000000000094,3.773689687451748e-07,0.2985074626865663,-17.20796312,20,2
-3.3,-3.25E-07,3.3000000000000096,3.2467510013524435e-07,0.30303030303030215,-17.32828578,20,2
-3.25,-2.78E-07,3.2500000000000098,2.776735354551541e-07,0.30769230769230677,-17.45412974,20,2
-3.2,-2.55E-07,3.2,2.5465773214789413e-07,0.31249999999999906,-17.50964704,20,2
-3.15,-2.83E-07,3.15,2.825464042948488e-07,0.31746031746031644,-17.37422794,20,2
-3.1,-1.76E-07,3.1000000000000103,1.7645081060613264e-07,0.32258064516128926,-17.81302792,20,2
-3.05,-1.96E-07,3.0500000000000105,1.9589369297354279e-07,0.32786885245901526,-17.67597689,20,2
