# Thermionic emission I–V (300 K)
# Voltage(V)	Current(A)
0.00	2.000e-09
0.03	2.324e-09
0.05	2.700e-09
0.08	3.137e-09
0.10	3.644e-09
0.12	4.234e-09
0.15	4.919e-09
0.18	5.715e-09
0.20	6.640e-09
0.23	7.715e-09
0.25	8.963e-09
0.28	1.041e-08
0.30	1.210e-08
0.33	1.406e-08
0.35	1.633e-08
0.38	1.898e-08
0.40	2.205e-08
0.43	2.561e-08
0.45	2.976e-08
0.48	3.458e-08
0.50	4.017e-08
0.53	4.667e-08
0.55	5.423e-08
0.58	6.300e-08
0.60	7.320e-08
0.62	8.504e-08
0.65	9.880e-08
0.68	1.148e-07
0.70	1.334e-07
0.73	1.550e-07
0.75	1.800e-07
0.78	2.092e-07
0.80	2.430e-07
0.83	2.823e-07
0.85	3.280e-07
0.88	3.811e-07
0.90	4.428e-07
0.93	5.145e-07
0.95	5.977e-07
0.98	6.945e-07
1.00	8.069e-07
